row_index,role
732,train
733,challenge
734,train
735,challenge
736,train
737,train
738,calibration
739,val
740,challenge
741,calibration
742,train
743,calibration
744,train
745,train
746,train
747,train
748,calibration
749,challenge
750,val
751,val
752,val
753,train
754,challenge
755,val
756,calibration
757,challenge
758,train
759,calibration
760,train
761,train
762,train
763,calibration
764,calibration
765,train
766,train
767,train
768,train
769,calibration
770,challenge
771,calibration
772,val
773,train
774,calibration
775,train
776,train
777,challenge
778,train
779,train
780,train
781,val
782,calibration
783,calibration
784,train
785,train
786,train
787,train
788,train
789,train
790,challenge
791,train
792,train
793,train
794,train
795,train
796,calibration
797,challenge
798,challenge
799,train
800,train
801,train
802,train
803,val
804,train
805,train
806,calibration
807,train
808,train
809,train
810,train
811,train
812,challenge
813,train
814,train
815,train
816,train
817,train
818,val
819,challenge
820,val
821,challenge
822,challenge
823,challenge
824,train
825,challenge
826,train
827,val
828,challenge
829,train
830,train
831,train
832,challenge
833,challenge
834,challenge
835,val
836,challenge
837,val
838,train
839,val
840,train
841,train
842,train
843,val
844,train
845,val
846,calibration
847,val
848,train
849,train
850,train
851,val
852,train
853,train
854,calibration
855,train
856,challenge
857,challenge
858,train
859,val
860,val
861,train
862,train
863,challenge
864,train
865,train
866,train
867,challenge
868,train
869,train
870,train
871,train
872,train
873,train
874,val
875,val
876,train
877,train
878,val
879,challenge
880,val
881,calibration
882,train
883,train
884,train
885,train
886,val
887,train
888,train
889,train
890,train
891,train
892,train
893,train
894,train
895,val
896,val
897,train
898,train
899,train
900,calibration
901,train
902,train
903,challenge
904,challenge
905,challenge
906,train
907,challenge
908,train
909,train
910,train
911,val
912,train
913,val
914,train
915,train
916,train
917,train
918,val
919,train
920,challenge
921,train
922,train
923,train
924,train
925,train
926,calibration
927,train
928,challenge
929,train
930,val
931,challenge
932,train
933,calibration
934,train
935,challenge
936,train
937,val
938,train
939,train
940,challenge
941,train
942,train
943,calibration
944,train
945,train
946,train
947,train
948,train
949,train
950,train
951,train
952,calibration
953,val
954,challenge
955,train
956,calibration
957,train
958,challenge
959,train
960,train
961,challenge
962,train
963,train
964,train
965,val
966,train
967,train
968,train
969,train
970,challenge
971,train
972,train
973,challenge
974,calibration
975,challenge
976,val
977,train
978,train
979,val
980,train
981,challenge
982,challenge
983,train
984,train
985,train
986,calibration
987,train
988,train
989,challenge
990,challenge
991,train
992,train
993,train
994,train
995,train
996,train
997,train
998,train
999,calibration
1000,train
1001,challenge
1002,train
1003,train
1004,val
1005,train
1006,val
1007,train
1008,challenge
1009,train
1010,challenge
1011,train
1012,train
1013,train
1014,train
1015,challenge
1016,train
1017,train
1018,challenge
1019,challenge
1020,val
1021,val
1022,val
1023,train
1024,train
1025,challenge
1026,train
1027,challenge
1028,val
1029,train
1030,challenge
1031,train
1032,train
1033,train
1034,challenge
1035,challenge
1036,train
1037,calibration
1038,train
1039,train
1040,val
1041,train
1042,train
1043,train
1044,train
1045,challenge
1046,train
1047,train
1048,train
1049,val
1050,train
1051,train
1052,train
1053,train
1054,train
1055,train
1056,train
1057,val
1058,train
1059,train
1060,calibration
1061,train
1062,train
1063,challenge
1064,challenge
1065,val
1066,train
1067,val
1068,challenge
1069,train
1070,train
1071,train
1072,train
1073,train
1074,challenge
1075,train
1076,train
1077,train
1078,train
1079,val
1080,train
1081,train
1082,val
1083,train
1084,train
1085,calibration
1086,train
1087,val
1088,train
1089,train
1090,val
1091,train
1092,train
1093,train
1094,train
1095,train
1096,train
1097,train
1098,val
1099,train
1100,challenge
1101,train
1102,train
1103,train
1104,train
1105,challenge
1106,train
1107,challenge
1108,train
1109,val
1110,calibration
1111,train
1112,val
1113,challenge
1114,train
1115,train
1116,calibration
1117,calibration
1118,train
1119,train
1120,challenge
1121,train
1122,train
1123,train
1124,val
1125,train
1126,calibration
1127,challenge
1128,challenge
1129,challenge
1130,train
1131,train
1132,train
1133,train
1134,val
1135,calibration
1136,train
1137,calibration
1138,val
1139,train
1140,train
1141,challenge
1142,challenge
1143,calibration
1144,train
1145,val
1146,train
1147,train
1148,train
1149,val
1150,val
1151,calibration
1152,train
1153,train
1154,train
1155,train
1156,challenge
1157,train
1158,val
1159,train
1160,train
1161,calibration
1162,challenge
1163,train
1164,train
1165,challenge
1166,val
1167,train
1168,train
1169,calibration
1170,train
1171,challenge
1172,train
1173,train
1174,challenge
1175,train
1176,challenge
1177,val
1178,train
1179,calibration
1180,train
1181,val
1182,train
1183,calibration
1184,challenge
1185,train
1186,val
1187,train
1188,train
1189,val
1190,train
1191,train
1192,train
1193,train
1194,train
1195,train
1196,train
1197,train
1198,train
1199,train
1200,train
1201,train
1202,train
1203,train
1204,train
1205,val
1206,val
1207,train
1208,train
1209,train
1210,val
1211,train
1212,train
1213,train
1214,val
1215,train
1216,challenge
1217,challenge
1218,train
1219,calibration
1220,val
1221,train
1222,val
1223,calibration
1224,challenge
1225,train
1226,train
1227,train
1228,train
1229,train
1230,train
1231,val
1232,train
1233,val
1234,challenge
1235,train
1236,train
1237,train
1238,challenge
1239,train
1240,train
1241,train
1242,challenge
1243,calibration
1244,challenge
1245,challenge
1246,train
1247,train
1248,challenge
1249,train
1250,train
1251,train
1252,calibration
1253,val
1254,train
1255,train
1256,train
1257,challenge
1258,train
1259,train
1260,val
1261,calibration
1262,train
1263,calibration
1264,train
1265,train
1266,train
1267,challenge
1268,train
1269,challenge
1270,train
1271,train
1272,challenge
1273,train
1274,train
1275,train
1276,train
1277,train
1278,train
1279,val
1280,train
1281,val
1282,train
1283,val
1284,train
1285,train
1286,train
1287,challenge
1288,train
1289,calibration
1290,train
1291,challenge
1292,train
1293,val
1294,challenge
1295,val
1296,train
1297,challenge
1298,train
1299,val
1300,train
1301,calibration
1302,train
1303,challenge
1304,train
1305,train
1306,challenge
1307,challenge
1308,train
1309,train
1310,train
1311,challenge
1312,train
1313,train
1314,train
1315,val
1316,calibration
1317,train
1318,train
1319,train
1320,train
1321,train
1322,train
1323,calibration
1324,challenge
1325,train
1326,train
1327,train
1328,train
1329,train
1330,train
1331,train
1332,train
1333,val
1334,calibration
1335,train
1336,train
1337,train
1338,val
1339,train
1340,challenge
1341,train
1342,val
1343,challenge
1344,train
1345,val
1346,val
1347,val
1348,train
1349,train
1350,calibration
1351,train
1352,val
1353,train
1354,val
1355,train
1356,challenge
1357,train
1358,challenge
1359,challenge
1360,train
1361,train
1362,calibration
1363,train
1364,challenge
1365,train
1366,calibration
1367,train
1368,train
1369,train
1370,train
1371,calibration
1372,train
1373,calibration
1374,train
1375,train
1376,train
1377,train
1378,train
1379,train
1380,train
1381,train
1382,challenge
1383,train
1384,challenge
1385,train
1386,train
1387,train
1388,train
1389,train
1390,calibration
1391,val
1392,train
1393,calibration
1394,challenge
1395,challenge
1396,challenge
1397,val
1398,train
1399,train
1400,calibration
1401,challenge
1402,train
1403,val
1404,train
1405,val
1406,challenge
1407,train
1408,train
1409,train
1410,train
1411,train
1412,train
1413,train
1414,challenge
1415,val
1416,val
1417,train
1418,calibration
1419,train
1420,challenge
1421,challenge
1422,train
1423,train
1424,challenge
1425,challenge
1426,train
1427,train
1428,challenge
1429,calibration
1430,val
1431,train
1432,train
1433,challenge
1434,val
1435,challenge
1436,train
1437,train
1438,train
1439,val
1440,challenge
1441,train
1442,train
1443,train
1444,train
1445,train
1446,train
1447,calibration
1448,train
1449,train
1450,train
1451,train
1452,val
1453,train
1454,val
1455,val
1456,train
1457,val
1458,train
1459,challenge
1460,calibration
1461,train
1462,train
1463,val
1464,calibration
1465,val
1466,train
1467,val
1468,val
1469,train
1470,val
1471,challenge
1472,challenge
1473,train
1474,challenge
1475,train
1476,train
1477,val
1478,calibration
1479,train
1480,val
1481,calibration
1482,train
1483,train
1484,train
1485,val
1486,calibration
1487,challenge
1488,train
1489,train
1490,train
1491,calibration
1492,train
1493,val
1494,train
1495,train
1496,val
1497,calibration
1498,train
1499,train
1500,train
1501,train
1502,train
1503,train
1504,train
1505,val
1506,train
1507,train
1508,train
1509,train
1510,train
1511,train
1512,train
1513,train
1514,train
1515,val
1516,train
1517,challenge
1518,challenge
1519,train
1520,train
1521,calibration
1522,train
1523,challenge
1524,train
1525,calibration
1526,calibration
1527,train
1528,challenge
1529,train
1530,val
1531,train
1532,train
1533,calibration
1534,calibration
1535,calibration
1536,calibration
1537,train
1538,val
1539,train
1540,train
1541,train
1542,train
1543,train
1544,challenge
1545,challenge
1546,challenge
1547,train
1548,train
1549,challenge
1550,train
1551,train
1552,train
1553,train
1554,train
1555,val
1556,train
1557,challenge
1558,challenge
1559,train
1560,challenge
1561,challenge
1562,train
1563,train
1564,calibration
1565,train
1566,train
1567,train
1568,calibration
1569,train
1570,train
1571,train
1572,train
1573,val
1574,train
1575,train
1576,train
1577,train
1578,challenge
1579,calibration
1580,train
1581,calibration
1582,train
1583,challenge
1584,val
1585,val
1586,train
1587,train
1588,train
1589,train
1590,val
1591,train
1592,train
1593,train
1594,train
1595,train
1596,train
1597,train
1598,train
1599,calibration
1600,train
1601,train
1602,train
1603,train
1604,train
1605,val
1606,train
1607,val
1608,train
1609,train
1610,train
1611,val
1612,val
1613,train
1614,train
1615,train
1616,calibration
1617,train
1618,train
1619,train
1620,train
1621,val
1622,challenge
1623,challenge
1624,train
1625,calibration
1626,train
1627,train
1628,train
1629,train
1630,train
1631,val
1632,train
1633,train
1634,val
1635,train
1636,train
1637,challenge
1638,val
1639,calibration
1640,val
1641,train
1642,train
1643,train
1644,train
1645,val
1646,train
1647,challenge
1648,train
1649,train
1650,train
1651,train
1652,calibration
1653,train
1654,calibration
1655,train
1656,challenge
1657,train
1658,train
1659,val
1660,calibration
1661,calibration
1662,train
1663,calibration
1664,challenge
1665,train
1666,train
1667,train
1668,train
1669,train
1670,challenge
1671,train
1672,val
1673,val
1674,train
1675,train
1676,calibration
1677,val
1678,train
1679,train
1680,challenge
1681,train
1682,train
1683,train
1684,calibration
1685,val
1686,train
1687,train
1688,train
1689,train
1690,val
1691,challenge
1692,challenge
1693,train
1694,calibration
1695,challenge
1696,challenge
1697,challenge
1698,val
1699,train
1700,val
1701,train
1702,train
1703,val
1704,calibration
1705,train
1706,train
1707,train
1708,train
1709,train
1710,train
1711,calibration
1712,calibration
1713,train
1714,calibration
1715,train
1716,train
1717,train
1718,train
1719,train
1720,train
1721,train
1722,challenge
1723,train
1724,train
1725,val
1726,val
1727,calibration
1728,train
1729,train
1730,challenge
1731,train
1732,calibration
1733,train
1734,calibration
1735,val
1736,val
1737,train
1738,challenge
1739,train
1740,calibration
1741,challenge
1742,train
1743,calibration
1744,calibration
1745,val
1746,val
1747,val
1748,train
1749,train
1750,train
1751,train
1752,calibration
1753,train
1754,val
1755,train
1756,train
1757,train
1758,train
1759,train
1760,train
1761,train
1762,calibration
1763,train
1764,val
1765,challenge
1766,train
1767,train
1768,train
1769,train
1770,train
1771,train
1772,challenge
1773,calibration
1774,train
1775,train
1776,challenge
1777,train
1778,calibration
1779,train
1780,calibration
1781,val
1782,train
1783,challenge
1784,train
1785,train
1786,train
1787,train
1788,train
1789,train
1790,val
1791,train
1792,val
1793,challenge
1794,val
1795,train
1796,train
1797,train
1798,train
1799,train
1800,challenge
1801,train
1802,calibration
1803,val
1804,train
1805,train
1806,calibration
1807,train
1808,train
1809,train
1810,val
1811,val
1812,challenge
1813,train
1814,val
1815,train
1816,train
1817,train
1818,train
1819,calibration
1820,challenge
1821,train
1822,val
1823,calibration
1824,train
1825,train
1826,train
1827,challenge
1828,train
1829,train
1830,train
1831,val
1832,train
1833,train
1834,calibration
1835,calibration
1836,challenge
1837,train
1838,val
1839,challenge
1840,val
1841,train
1842,train
1843,train
1844,train
1845,train
1846,train
1847,train
1848,calibration
1849,train
1850,train
1851,challenge
1852,train
1853,challenge
1854,train
1855,val
1856,train
1857,calibration
1858,challenge
1859,train
1860,train
1861,train
1862,train
1863,train
1864,calibration
1865,train
1866,train
1867,train
1868,calibration
1869,val
1870,challenge
1871,train
1872,train
1873,calibration
1874,val
1875,challenge
1876,challenge
1877,train
1878,train
1879,train
1880,train
1881,challenge
1882,train
1883,challenge
1884,train
1885,challenge
1886,train
1887,val
1888,challenge
1889,train
1890,train
1891,train
1892,train
1893,val
1894,calibration
1895,train
1896,val
1897,train
1898,train
1899,calibration
1900,train
1901,val
1902,train
1903,val
1904,train
1905,train
1906,calibration
1907,challenge
1908,val
1909,val
1910,train
1911,val
1912,val
1913,train
1914,calibration
1915,val
1916,train
1917,train
1918,train
1919,train
1920,train
1921,train
1922,train
1923,val
1924,train
1925,challenge
1926,val
1927,val
1928,train
1929,challenge
1930,challenge
1931,train
1932,calibration
1933,calibration
1934,train
1935,train
1936,train
1937,challenge
1938,calibration
1939,challenge
1940,challenge
1941,train
1942,val
1943,val
1944,calibration
1945,calibration
1946,challenge
1947,train
1948,train
1949,train
1950,challenge
1951,train
1952,train
1953,val
1954,challenge
1955,train
1956,challenge
1957,train
1958,train
1959,train
1960,train
1961,train
1962,train
1963,train
1964,train
1965,challenge
1966,train
1967,train
1968,train
1969,train
1970,calibration
1971,train
1972,train
1973,train
1974,train
1975,train
1976,train
1977,train
1978,challenge
1979,calibration
1980,val
1981,train
1982,train
1983,train
1984,train
1985,train
1986,train
1987,train
1988,train
1989,train
1990,val
1991,train
1992,train
1993,calibration
1994,train
1995,train
1996,train
1997,train
1998,challenge
1999,calibration
2000,val
2001,calibration
2002,train
2003,train
2004,train
2005,train
2006,challenge
2007,val
2008,train
2009,train
2010,val
2011,val
2012,train
2013,train
2014,calibration
2015,calibration
2016,train
2017,train
2018,challenge
2019,train
2020,train
2021,challenge
2022,challenge
2023,train
2024,val
2025,val
2026,train
2027,train
2028,challenge
2029,train
2030,train
2031,challenge
2032,train
2033,train
2034,train
2035,train
2036,train
2037,train
2038,train
2039,train
2040,train
2041,train
2042,train
2043,train
2044,train
2045,val
2046,train
2047,train
2048,train
2049,train
2050,train
2051,train
2052,train
2053,train
2054,train
2055,train
2056,train
2057,calibration
2058,train
2059,train
2060,train
2061,train
2062,train
2063,train
2064,val
2065,val
2066,calibration
2067,train
2068,train
2069,train
2070,train
2071,train
2072,val
2073,train
2074,val
2075,val
2076,calibration
2077,train
2078,calibration
2079,train
2080,challenge
2081,calibration
2082,train
2083,train
2084,val
2085,train
2086,train
2087,train
2088,val
2089,val
2090,train
2091,train
2092,train
2093,train
2094,train
2095,train
2096,val
2097,val
2098,train
2099,train
2100,val
2101,train
2102,train
2103,challenge
2104,val
2105,train
2106,train
2107,calibration
2108,train
2109,train
2110,challenge
2111,train
2112,train
2113,train
2114,train
2115,train
2116,train
2117,train
2118,calibration
2119,val
2120,train
2121,train
2122,val
2123,train
2124,challenge
2125,val
2126,train
2127,train
2128,train
2129,calibration
2130,train
2131,val
2132,val
2133,calibration
2134,train
2135,train
2136,train
2137,train
2138,val
2139,train
2140,train
2141,train
2142,train
2143,train
2144,calibration
2145,challenge
2146,train
2147,calibration
2148,train
2149,challenge
2150,train
2151,challenge
2152,calibration
2153,train
2154,train
2155,train
2156,calibration
2157,challenge
2158,train
2159,train
2160,train
2161,challenge
2162,val
2163,val
2164,train
2165,train
2166,train
2167,train
2168,challenge
2169,train
2170,val
2171,train
2172,train
2173,challenge
2174,val
2175,val
2176,train
2177,train
2178,train
2179,val
2180,val
2181,train
2182,challenge
2183,train
2184,train
2185,train
2186,challenge
2187,train
2188,calibration
2189,calibration
2190,val
2191,train
2192,calibration
2193,train
2194,calibration
2195,train
2196,train
2197,challenge
2198,train
2199,train
2200,train
2201,val
2202,train
2203,train
2204,train
2205,train
2206,train
2207,train
2208,val
2209,train
2210,val
2211,val
2212,train
2213,train
2214,val
2215,challenge
2216,train
2217,train
2218,train
2219,train
2220,challenge
2221,train
2222,val
2223,train
2224,train
2225,train
2226,challenge
2227,challenge
2228,train
2229,train
2230,train
2231,train
2232,challenge
2233,val
2234,calibration
2235,val
2236,calibration
2237,train
2238,train
2239,train
2240,train
2241,train
2242,challenge
2243,calibration
2244,train
2245,train
2246,val
2247,calibration
2248,train
2249,train
2250,train
2251,train
2252,val
2253,calibration
2254,train
2255,train
2256,challenge
2257,train
2258,train
2259,challenge
2260,train
2261,challenge
2262,train
2263,train
2264,train
2265,calibration
2266,train
2267,val
2268,train
2269,calibration
2270,calibration
2271,val
2272,train
2273,challenge
2274,train
2275,train
2276,challenge
2277,val
2278,train
2279,calibration
2280,train
2281,train
2282,val
2283,train
2284,train
2285,train
2286,train
2287,calibration
2288,challenge
2289,train
2290,train
2291,train
2292,train
2293,train
2294,train
2295,challenge
2296,val
2297,val
2298,challenge
2299,train
2300,train
2301,train
2302,challenge
2303,train
2304,val
2305,train
2306,train
2307,calibration
2308,challenge
2309,train
2310,val
2311,train
2312,train
2313,train
2314,val
2315,train
2316,val
2317,val
2318,val
2319,train
2320,challenge
2321,train
2322,challenge
2323,train
2324,calibration
2325,train
2326,train
2327,val
2328,val
2329,train
2330,train
2331,train
2332,train
2333,val
2334,train
2335,train
2336,train
2337,train
2338,challenge
2339,val
2340,val
2341,train
2342,train
2343,val
2344,calibration
2345,calibration
2346,val
2347,val
2348,challenge
2349,train
2350,challenge
2351,challenge
2352,train
2353,train
2354,val
2355,train
2356,calibration
2357,challenge
2358,train
2359,train
2360,train
2361,challenge
2362,challenge
2363,challenge
2364,challenge
2365,challenge
2366,train
2367,val
2368,calibration
2369,train
2370,train
2371,train
2372,train
2373,challenge
2374,train
2375,challenge
2376,challenge
2377,train
2378,train
2379,challenge
2380,challenge
2381,challenge
2382,train
2383,val
2384,train
2385,train
2386,calibration
2387,val
2388,challenge
2389,challenge
2390,train
2391,train
2392,train
2393,train
2394,train
2395,val
2396,train
2397,challenge
2398,train
2399,train
2400,train
2401,train
2402,train
2403,val
2404,train
2405,train
2406,train
2407,train
2408,train
2409,train
2410,calibration
2411,train
2412,train
2413,calibration
2414,train
2415,calibration
2416,challenge
2417,train
2418,train
2419,train
2420,val
2421,train
2422,train
2423,train
2424,train
2425,challenge
2426,challenge
2427,train
2428,train
2429,challenge
2430,train
2431,train
2432,train
2433,train
2434,val
2435,train
2436,train
2437,train
2438,challenge
2439,calibration
2440,train
2441,challenge
2442,train
2443,train
2444,train
2445,train
2446,train
2447,train
2448,train
2449,challenge
2450,train
2451,train
2452,challenge
2453,train
2454,train
2455,train
2456,train
2457,val
2458,train
2459,calibration
2460,val
2461,challenge
2462,train
2463,challenge
2464,train
2465,train
2466,train
2467,train
2468,challenge
2469,train
2470,train
2471,challenge
2472,val
2473,challenge
2474,train
2475,val
2476,val
2477,train
2478,challenge
2479,train
2480,train
2481,calibration
2482,train
2483,train
2484,val
2485,train
2486,train
2487,train
2488,challenge
2489,train
2490,calibration
2491,train
2492,train
2493,train
2494,calibration
2495,train
2496,challenge
2497,challenge
2498,train
2499,train
2500,challenge
2501,val
2502,challenge
2503,val
2504,train
2505,train
2506,val
2507,challenge
2508,train
2509,calibration
2510,train
2511,challenge
2512,train
2513,train
2514,train
2515,train
2516,val
2517,train
2518,train
2519,challenge
2520,train
2521,challenge
2522,train
2523,train
2524,challenge
2525,train
2526,train
2527,train
2528,train
2529,train
2530,challenge
2531,calibration
2532,train
2533,train
2534,train
2535,train
2536,train
2537,val
2538,train
2539,train
2540,train
2541,train
2542,train
2543,train
2544,calibration
2545,train
2546,train
2547,val
2548,train
2549,val
2550,calibration
2551,challenge
2552,challenge
2553,train
2554,train
2555,val
2556,challenge
2557,train
2558,train
2559,train
2560,train
2561,train
2562,val
2563,train
2564,train
2565,val
2566,train
2567,train
2568,challenge
2569,val
2570,val
2571,calibration
2572,val
2573,calibration
2574,train
2575,challenge
2576,train
2577,train
2578,calibration
2579,train
2580,train
2581,calibration
2582,train
2583,val
2584,train
2585,challenge
2586,val
2587,train
2588,train
2589,train
2590,train
2591,train
2592,challenge
2593,train
2594,train
2595,train
2596,calibration
2597,calibration
2598,train
2599,train
2600,calibration
2601,train
2602,train
2603,calibration
2604,train
2605,train
2606,train
2607,train
2608,train
2609,train
2610,challenge
2611,train
2612,val
2613,train
2614,train
2615,train
2616,train
2617,train
2618,challenge
2619,train
2620,train
2621,train
2622,train
2623,calibration
2624,train
2625,train
2626,train
2627,train
2628,train
2629,train
2630,train
2631,train
2632,val
2633,val
2634,train
2635,train
2636,val
2637,train
2638,train
2639,val
2640,challenge
2641,val
2642,train
2643,train
2644,train
2645,val
2646,val
2647,train
2648,train
2649,train
2650,val
2651,challenge
2652,challenge
2653,challenge
2654,train
2655,train
2656,train
2657,calibration
2658,val
2659,challenge
2660,train
2661,calibration
2662,challenge
2663,train
2664,train
2665,train
2666,challenge
2667,challenge
2668,val
2669,val
2670,train
2671,challenge
2672,train
2673,train
2674,train
2675,train
2676,train
2677,train
2678,calibration
2679,train
2680,train
2681,train
2682,val
2683,train
2684,calibration
2685,challenge
2686,train
2687,val
2688,train
2689,calibration
2690,val
2691,train
2692,train
2693,challenge
2694,challenge
2695,train
2696,train
2697,challenge
2698,val
2699,train
2700,calibration
2701,val
2702,train
2703,train
2704,train
2705,challenge
2706,train
2707,train
2708,train
2709,train
2710,calibration
2711,train
2712,train
2713,train
2714,train
2715,train
2716,train
2717,train
