hgnc_symbol,role
ALG3,challenge
ALG5,val
ALG6,train
ALG8,train
ALG9,train
ALKAL2,train
ALKBH1,train
ALKBH2,train
ALKBH3,val
ALKBH4,train
ALKBH5,challenge
ALKBH6,train
ALKBH7,challenge
ALKBH8,train
ALMS1,train
ALOX12,train
ALOX5,calibration
ALOX5AP,challenge
ALPK1,calibration
ALPL,train
ALS2,val
ALS2CL,train
ALX1,calibration
ALX3,train
ALX4,train
AMBRA1,val
AMD1,train
AMDHD1,train
AMDHD2,val
AMER1,train
AMFR,train
AMIGO1,val
AMIGO2,train
AMMECR1,calibration
AMMECR1L,calibration
AMN,val
AMN1,train
AMOT,challenge
AMPD2,challenge
AMPD3,challenge
AMT,challenge
AMY2B,train
AMZ2,challenge
ANAPC10,train
ANAPC11,train
ANAPC13,train
ANAPC15,train
ANAPC16,train
ANAPC5,train
ANAPC7,train
ANGEL1,train
ANGEL2,val
ANGPT2,train
ANGPTL4,challenge
ANGPTL6,val
ANHX,train
ANK1,challenge
ANK3,challenge
ANKAR,train
ANKDD1A,train
ANKEF1,val
ANKFY1,train
ANKH,train
ANKHD1-EIF4EBP3,train
ANKK1,train
ANKLE1,val
ANKLE2,train
ANKMY1,train
ANKMY2,val
ANKRA2,train
ANKRD10,train
ANKRD11,train
ANKRD12,challenge
ANKRD13A,train
ANKRD13B,train
ANKRD13C,train
ANKRD13C-DT,challenge
ANKRD13D,train
ANKRD16,train
ANKRD17,train
ANKRD18A,challenge
ANKRD23,train
ANKRD26,train
ANKRD27,train
ANKRD28,train
ANKRD31,calibration
ANKRD33B,val
ANKRD36,train
ANKRD36B,train
ANKRD36C,train
ANKRD37,train
ANKRD39,challenge
ANKRD40,train
ANKRD42,challenge
ANKRD44,train
ANKRD46,val
ANKRD49,train
ANKRD52,train
ANKRD54,val
ANKRD6,challenge
ANKRD61,train
ANKRD9,train
ANKS1A,train
ANKS3,challenge
ANKS6,challenge
ANKZF1,val
ANO10,train
ANO6,val
ANO8,val
ANO9,train
ANP32A,challenge
ANP32B,challenge
ANP32E,challenge
ANPEP,train
ANTKMT,train
ANTXR2,challenge
ANXA1,train
ANXA11,train
ANXA2,train
ANXA2R,train
ANXA3,train
ANXA4,train
ANXA5,train
ANXA6,train
ANXA7,train
ANXA9,train
AOAH,val
AOC2,challenge
AOC3,challenge
AOPEP,train
AP1AR,train
AP1B1,train
AP1G1,train
AP1G2,train
AP1M1,train
AP1S1,train
AP1S2,train
AP1S3,train
AP2A1,train
AP2A2,train
AP2B1,train
AP2S1,val
AP3B1,challenge
AP3D1,challenge
AP3M1,challenge
AP3M2,challenge
AP3S1,train
AP3S2,challenge
AP4B1,train
AP4E1,train
AP4M1,train
AP4S1,train
AP5B1,challenge
AP5M1,challenge
AP5S1,challenge
AP5Z1,challenge
APAF1,val
APBA1,train
APBA2,train
APBA3,train
APBB1,train
APBB1IP,train
APBB2,challenge
APBB3,train
APC,train
APEH,train
APEX1,challenge
APEX2,challenge
APH1A,train
APH1B,train
API5,train
APIP,calibration
APLF,calibration
APLP1,calibration
APLP2,train
APMAP,challenge
APOA1,train
APOA4,train
APOBEC2,train
APOBEC3A,challenge
APOBEC3B,challenge
APOBEC3C,train
APOBEC3D,train
APOBEC3F,train
APOBEC3G,challenge
APOBEC3H,challenge
APOBR,train
APOC1,train
APOC3,train
APOD,challenge
APOE,train
APOL1,val
APOL2,val
APOL3,val
APOL6,calibration
APOLD1,challenge
APOM,train
APOO,train
APOOL,train
APP,train
APPBP2,train
APPL2,train
APRT,challenge
APTX,train
AQP1,challenge
AQP11,train
AQP3,challenge
AQP5,challenge
AQP9,challenge
AR,train
ARAF,train
ARAP1,train
ARAP2,train
ARAP3,train
ARB2A,val
ARC,train
AREG,train
AREL1,val
ARF1,train
ARF3,train
ARF4,train
ARF5,train
ARF6,train
ARFGAP1,val
ARFGAP2,val
ARFGAP3,val
ARFGEF1,val
ARFGEF2,val
ARFIP1,challenge
ARFIP2,challenge
ARFRP1,train
ARG1,challenge
ARG2,challenge
ARGFX,calibration
ARGLU1,challenge
ARHGAP1,val
ARHGAP10,train
ARHGAP11A,challenge
ARHGAP11B,train
ARHGAP12,train
ARHGAP15,train
ARHGAP17,challenge
ARHGAP18,challenge
ARHGAP19,val
ARHGAP21,train
ARHGAP24,train
ARHGAP25,train
ARHGAP26,train
ARHGAP27,val
ARHGAP30,train
ARHGAP31,train
ARHGAP32,train
ARHGAP33,train
ARHGAP45,train
ARHGAP5,val
ARHGAP6,train
ARHGAP9,challenge
ARHGDIA,train
ARHGDIB,train
ARHGEF1,challenge
ARHGEF10,train
ARHGEF11,train
ARHGEF12,train
ARHGEF18,challenge
ARHGEF19,train
ARHGEF2,challenge
ARHGEF3,train
ARHGEF39,train
ARHGEF40,train
ARHGEF5,train
ARHGEF6,challenge
ARHGEF7,challenge
ARHGEF9,train
ARID1A,train
ARID1B,train
ARID2,train
ARID3A,train
ARID3B,train
ARID3C,train
ARID4A,calibration
ARID4B,calibration
ARID5A,train
ARID5B,train
ARIH1,train
ARIH2,train
ARIH2OS,challenge
ARK2N,calibration
ARL1,train
ARL10,train
ARL13A,train
ARL13B,train
ARL14,val
ARL14EP,train
ARL15,train
ARL16,train
ARL17A,train
ARL17B,train
ARL2BP,val
ARL3,train
ARL4A,train
ARL4C,train
ARL4D,train
ARL5A,train
ARL5B,train
ARL6,val
ARL6IP1,challenge
ARL6IP4,train
ARL6IP5,train
ARL6IP6,val
ARL8A,train
ARL8B,train
ARL9,train
ARLN,train
ARMC1,challenge
ARMC10,train
ARMC12,challenge
ARMC2,val
ARMC5,train
ARMC6,train
ARMC7,train
ARMC8,challenge
ARMCX2,train
ARMCX3,train
ARMCX4,val
ARMCX5,challenge
ARMCX6,train
ARMH1,train
ARMH2,train
ARMH3,train
ARNT,train
ARNT2,train
ARPC1A,train
ARPC1B,challenge
ARPC2,train
ARPC3,train
ARPC4-TTLL3,train
ARPC5,challenge
ARPC5L,challenge
ARRB1,train
ARRB2,train
ARRDC1,train
ARRDC2,val
ARRDC3,train
ARRDC4,train
ARSA,train
ARSB,train
ARSG,train
ARSK,train
ARV1,challenge
ARX,train
ASAH1,challenge
ASAH2B,challenge
ASAP2,train
ASAP3,val
ASB1,train
ASB13,train
ASB14,train
ASB2,train
ASB6,train
ASB7,train
ASB8,train
ASCC1,challenge
ASCC2,challenge
ASCC3,challenge
ASCL1,val
ASCL2,val
ASCL3,challenge
ASCL4,val
ASCL5,train
ASF1A,train
ASF1B,train
ASH1L,train
ASH2L,calibration
ASIC1,train
ASIC3,train
ASL,train
ASMTL,train
ASNS,challenge
ASNSD1,train
ASPH,train
ASPHD2,train
ASPM,train
ASPRV1,val
ASPSCR1,val
ASRGL1,train
ASTE1,train
ASTL,challenge
ASXL1,train
ASXL2,train
ATAD1,challenge
ATAD2,train
ATAD2B,train
ATAD3A,train
ATAD3B,train
ATAD5,train
ATAT1,calibration
ATE1,challenge
ATF1,train
ATF2,train
ATF3,calibration
ATF4,train
ATF6,train
ATF6B,challenge
ATF7,train
ATF7IP,train
ATF7IP2,calibration
ATG10,train
ATG101,val
ATG12,val
ATG13,val
ATG14,val
ATG16L1,train
ATG16L2,val
ATG2A,challenge
ATG2B,challenge
ATG3,val
ATG4A,val
ATG4B,train
ATG4C,val
ATG4D,train
ATG5,train
ATG7,val
ATG9A,calibration
ATG9B,val
ATIC,train
ATL1,calibration
ATL2,calibration
ATL3,calibration
ATM,train
ATMIN,challenge
ATN1,train
ATOH1,train
ATOH7,val
ATOH8,challenge
ATOSA,challenge
ATOSB,train
ATOX1,val
ATP10A,train
ATP10D,train
ATP11A,val
ATP11B,val
ATP13A1,train
ATP13A2,val
ATP13A3,train
ATP1A3,train
ATP1B1,train
ATP1B3,train
ATP23,train
ATP2A2,challenge
ATP2A3,challenge
ATP2B1,train
ATP2B4,train
ATP2C1,val
ATP5F1A,calibration
ATP5F1B,calibration
ATP5F1C,calibration
ATP5F1D,calibration
ATP5F1E,train
ATP5IF1,calibration
ATP5MC1,calibration
ATP5MC2,calibration
ATP5MC3,calibration
ATP5ME,calibration
ATP5MF,calibration
ATP5MF-PTCD1,val
ATP5MG,calibration
ATP5PD,calibration
ATP5PF,calibration
ATP5PO,calibration
ATP6AP2,train
ATP6V0A1,train
ATP6V0A2,train
ATP6V0E1,train
ATP6V0E2,train
ATP6V1C2,train
ATP6V1D,train
ATP6V1E1,challenge
ATP6V1E2,challenge
ATP6V1G2,challenge
ATP7A,val
ATP8A1,train
ATP8A2,train
ATP8B1,val
ATP8B2,val
ATP8B3,train
ATP8B4,val
ATP9A,challenge
ATP9B,train
ATPAF1,val
ATPAF2,train
ATPSCKMT,train
ATRAID,train
ATRN,train
ATRX,challenge
ATXN1,train
ATXN10,train
ATXN1L,train
ATXN2,train
ATXN2L,train
ATXN3,challenge
ATXN7L1,calibration
ATXN7L2,challenge
ATXN7L3,train
ATXN7L3B,train
AUH,val
AUNIP,calibration
AUP1,train
AURKAIP1,challenge
AUTS2,train
AVEN,train
AVIL,challenge
AVL9,challenge
AVPI1,val
AVPR2,train
AXIN1,train
AXIN2,train
AXL,challenge
AZGP1,train
AZI2,calibration
AZIN1,train
AZIN2,train
B2M,train
B3GALNT2,val
B3GALT2,train
B3GALT4,challenge
B3GALT6,challenge
B3GAT1,train
B3GAT2,train
B3GAT3,train
B3GLCT,train
B3GNT2,train
B3GNT5,train
B3GNT9,challenge
B4GALNT1,train
B4GALNT3,challenge
B4GALNT4,train
B4GALT1,train
B4GALT2,train
B4GALT3,train
B4GALT4,train
B4GALT5,train
B4GALT7,train
B4GAT1,challenge
B9D2,train
BABAM1,calibration
BABAM2,train
BACE1,train
BACH1,calibration
BACH2,calibration
BAD,challenge
BAG1,train
BAG2,train
BAG3,challenge
BAG4,challenge
BAG5,train
BAHD1,train
BAIAP2,train
BAIAP2L1,train
BAIAP2L2,train
BAIAP3,train
BAK1,calibration
BAMBI,challenge
BANK1,train
BAP1,train
BARHL1,train
BARHL2,train
BARX1,train
BARX2,train
BASP1,train
BATF,val
BATF2,train
BATF3,train
BAX,train
BAZ1A,calibration
BAZ1B,calibration
BAZ2A,train
BAZ2B,train
BBC3,val
BBIP1,train
BBLN,train
BBS1,train
BBS10,calibration
BBS12,calibration
BBS2,train
BBS4,train
BBS7,train
BBS9,challenge
BBX,train
BCAP29,train
BCAP31,train
BCAS3,train
BCAS4,train
BCAT1,val
BCAT2,val
BCDIN3D,challenge
BCKDHA,challenge
BCKDHB,train
BCKDK,val
BCL10,train
BCL11A,train
BCL11B,train
BCL2,train
BCL2A1,train
BCL2L1,challenge
BCL2L11,train
BCL2L12,val
BCL2L13,val
BCL2L14,train
BCL2L2,train
BCL3,train
BCL6,train
BCL6B,train
BCL7A,train
BCL7B,train
BCL7C,train
BCL9,train
BCL9L,train
BCLAF1,val
BCOR,train
BCORL1,train
BCR,train
BCS1L,val
BDH1,train
BDH2,val
BDP1,challenge
BEGAIN,train
BEND2,val
BEND3,train
BEND4,val
BEND5,train
BEST1,train
BEST4,train
BET1L,train
BEX1,challenge
BEX2,train
BEX3,challenge
BEX4,challenge
BEX5,challenge
BFAR,challenge
BHLHA15,train
BHLHA9,val
BHLHE22,train
BHLHE23,val
BHLHE40,train
BHLHE41,train
BICD1,calibration
BICD2,calibration
BICDL1,train
BICRA,train
BICRAL,train
BID,train
BIK,train
BIN1,challenge
BIN2,calibration
BIN3,train
BIRC2,train
BIRC3,train
BIRC6,train
BIVM,train
BIVM-ERCC5,train
BKGD,val
BLCAP,train
BLK,train
BLM,train
BLMH,train
BLOC1S1,challenge
BLOC1S2,challenge
BLOC1S3,challenge
BLOC1S4,challenge
BLOC1S5,challenge
BLOC1S6,challenge
BLTP1,train
BLTP2,challenge
BLTP3A,train
BLTP3B,train
BLVRA,train
BLVRB,val
BLZF1,val
BMAL1,train
BMAL2,train
BMERB1,val
BMF,train
BMI1,train
BMP1,train
BMP2K,train
BMP6,train
BMP8A,calibration
BMP8B,calibration
BMPR1A,train
BMPR2,train
BNC1,calibration
BNC2,challenge
BNIP2,train
BNIP3,calibration
BNIP3L,challenge
BOD1,train
BOD1L1,train
BOK,val
BOLA1,val
BOLA2B,train
BOLA3,train
BORCS5,challenge
BORCS6,challenge
BORCS7,train
BORCS8,train
BORCS8-MEF2B,train
BPGM,train
BPHL,train
BPIFA2,val
BPNT1,train
BPNT2,train
BPTF,train
BRAF,train
BRAP,train
BRAT1,train
BRCA1,calibration
BRCC3,train
BRD1,val
BRD10,val
BRD2,train
BRD3,train
BRD4,train
BRD7,challenge
BRD8,train
BRD9,train
BRF2,train
BRI3BP,train
BRIP1,calibration
BRK1,challenge
BRME1,train
BRMS1,calibration
BRMS1L,calibration
BROX,train
BRPF1,val
BRPF3,val
BRSK1,train
BRWD1,train
BRWD3,train
BSCL2,val
BSDC1,calibration
BSG,train
BSPRY,train
BST1,train
BST2,challenge
BSX,train
BTAF1,train
BTBD1,challenge
BTBD10,train
BTBD19,train
BTBD2,challenge
BTBD3,train
BTBD6,train
BTBD7,challenge
BTBD8,train
BTD,challenge
BTF3L4,train
BTG1,train
BTG2,train
BTG3,train
BTK,train
BTLA,train
BTN2A1,train
BTN2A2,train
BTN3A1,train
BTN3A2,train
BTN3A3,train
BTNL9,train
BTRC,train
BUD23,challenge
BUD31,train
BZW1,train
BZW2,train
C10orf88,train
C10orf95,challenge
C11orf21,val
C11orf24,val
C11orf58,val
C11orf65,train
C11orf68,val
C11orf71,train
C11orf96,calibration
C11orf98,val
C12orf43,challenge
C12orf57,train
C12orf75,val
C12orf76,train
C14orf119,challenge
C14orf132,challenge
C14orf93,challenge
C15orf40,challenge
C15orf61,challenge
C15orf62,train
C16orf46,train
C16orf54,train
C16orf86,train
C16orf95,train
C17orf107,train
C17orf58,train
C17orf67,train
C17orf75,challenge
C18orf32,val
C18orf54,train
C19orf12,train
C19orf18,val
C19orf33,train
C19orf38,train
C19orf44,challenge
C19orf47,train
C19orf48P,calibration
C19orf53,train
C19orf73,val
C1D,challenge
C1GALT1,train
C1GALT1C1,val
C1QA,train
C1QB,train
C1QBP,challenge
C1QC,train
C1QL3,challenge
C1QTNF6,train
C1R,train
C1RL,train
C1S,train
C1orf115,challenge
C1orf122,train
C1orf159,val
C1orf162,challenge
C1orf174,train
C1orf198,train
C1orf21,train
C1orf216,train
C1orf35,train
C1orf50,train
C1orf52,challenge
C1orf54,train
C1orf56,train
C1orf74,challenge
C20orf202,train
C20orf96,train
C21orf58,val
C21orf91,calibration
C22orf23,train
C22orf46P,train
C2CD2L,train
C2CD3,val
C2CD4D,train
C2CD5,train
C2orf15,train
C2orf42,train
C2orf68,val
C2orf69,val
C2orf76,train
C3,val
C3AR1,train
C3orf18,train
C3orf38,train
C3orf52,train
C3orf62,challenge
C4BPB,train
C4orf33,train
C4orf46,challenge
C5AR1,train
C5orf15,train
C5orf24,train
C5orf34,val
C5orf58,train
C5orf63,train
C6orf120,train
C6orf136,val
C6orf163,val
C6orf47,train
C6orf62,train
C6orf89,train
C7,train
C8orf33,train
C8orf44,train
C8orf58,train
C8orf76,train
C8orf82,train
C8orf88,challenge
C9orf40,train
C9orf72,train
C9orf78,train
C9orf85,challenge
CA1,val
CA10,val
CA11,train
CA14,val
CA2,val
CA5B,train
CA6,train
CA7,val
CA9,challenge
CAAP1,train
CAB39,train
CAB39L,train
CABIN1,train
CABLES1,train
CABLES2,challenge
CABP4,train
CABP5,train
CACFD1,train
CACHD1,train
CACNA1A,train
CACNA1C,train
CACNA1D,val
CACNA1E,train
CACNA1H,train
CACNA2D2,train
CACNA2D4,train
CACNB1,train
CACNB2,train
CACNB3,train
CACNB4,challenge
CACUL1,calibration
CACYBP,train
CAD,train
CADM1,val
CALCB,challenge
CALCOCO1,val
CALCOCO2,challenge
CALD1,calibration
CALHM2,train
CALHM6,train
CALM1,train
CALM2,train
CALM3,train
CALML4,train
CALML5,train
CALR,train
CALU,train
CALY,challenge
CAMK1,train
CAMK1D,train
CAMK2D,calibration
CAMK2G,calibration
CAMK2N1,train
CAMK4,train
CAMKK1,train
CAMKMT,train
CAMLG,val
CAMSAP1,train
CAMSAP2,train
CAMTA1,train
CAMTA2,train
CAND1,challenge
CANT1,val
CANX,train
CAP1,train
CAPG,challenge
CAPN1,train
CAPN10,train
CAPN12,train
CAPN15,val
CAPN2,train
CAPN3,train
CAPN5,train
CAPN7,train
CAPNS1,train
CAPRIN2,train
CAPZA1,train
CAPZA2,train
CARD11,train
CARD16,challenge
CARD17P,val
CARD19,train
CARD6,train
CARD8,challenge
CARD9,train
CARHSP1,train
CARM1,train
CARMIL1,train
CARMIL2,val
CARNMT1,train
CARNS1,train
CARS2,train
CASC3,challenge
CASD1,challenge
CASK,train
CASP1,train
CASP10,challenge
CASP2,train
CASP3,train
CASP4,train
CASP6,train
CASP7,train
CASP8,train
CASP9,val
CASS4,train
CAST,train
CASTOR1,val
CAT,challenge
CATSPER2,train
CATSPERB,challenge
CATSPERG,challenge
CAV1,train
CAVIN1,train
CAVIN2,train
CAVIN3,train
CBFA2T2,val
CBFB,train
CBL,train
CBLB,train
CBLL1,train
CBLN3,train
CBR1,train
CBR3,train
CBR4,calibration
CBS,calibration
CBX1,challenge
CBX2,train
CBX3,challenge
CBX4,train
CBX5,challenge
CBX6,train
CBX7,train
CBY1,train
CC2D1A,train
CC2D1B,challenge
CCAR1,challenge
CCAR2,train
CCDC102A,train
CCDC102B,train
CCDC106,train
CCDC107,train
CCDC112,val
CCDC117,train
CCDC12,train
CCDC120,train
CCDC122,val
CCDC124,challenge
CCDC125,train
CCDC126,train
CCDC127,train
CCDC134,train
CCDC136,train
CCDC137,train
CCDC138,challenge
CCDC14,train
CCDC141,train
CCDC142,challenge
CCDC144A,calibration
CCDC15,train
CCDC150,train
CCDC152,train
CCDC154,val
CCDC159,train
CCDC167,train
CCDC169-SOHLH2,calibration
CCDC171,train
CCDC18,train
CCDC180,train
CCDC184,train
CCDC186,calibration
CCDC191,challenge
CCDC22,challenge
CCDC25,train
CCDC28A,train
CCDC28B,val
CCDC30,train
CCDC32,train
CCDC34,train
CCDC39,val
CCDC43,train
CCDC47,train
CCDC50,train
CCDC51,challenge
CCDC57,train
CCDC59,train
CCDC6,train
CCDC61,train
CCDC66,train
CCDC69,train
CCDC7,challenge
CCDC71,train
CCDC71L,challenge
CCDC77,train
CCDC78,train
CCDC82,train
CCDC85B,train
CCDC85C,train
CCDC88A,train
CCDC88B,train
CCDC88C,train
CCDC9,val
CCDC90B,challenge
CCDC91,train
CCDC92,val
CCDC93,challenge
CCDC97,challenge
CCHCR1,val
CCL1,val
CCL18,challenge
CCL2,challenge
CCL20,train
CCL22,challenge
CCL25,train
CCL28,train
CCL3,train
CCL3L3,train
CCL4,train
CCL4L2,train
CCL5,train
CCM2,train
CCN1,train
CCNA1,challenge
CCNA2,train
CCNB1,train
CCNB1IP1,train
CCNB2,train
CCNC,train
CCND1,train
CCND2,train
CCND3,train
CCNDBP1,train
CCNE1,challenge
CCNE2,challenge
CCNF,challenge
CCNG1,challenge
CCNG2,challenge
CCNH,train
CCNI,val
CCNI2,challenge
CCNJ,train
CCNK,train
CCNL1,train
CCNL2,train
CCNQ,train
CCNT1,train
CCNT2,train
CCNY,train
CCNYL1,train
CCP110,train
CCPG1,val
CCR1,train
CCR10,train
CCR2,train
CCR4,train
CCR5,train
CCR6,train
CCR7,train
CCR8,train
CCR9,train
CCS,train
CCSAP,train
CCSER2,challenge
CCZ1,train
CCZ1B,train
CD101,train
CD109,train
CD14,val
CD151,train
CD160,train
CD163,train
CD164,train
CD177,calibration
CD19,train
CD2,val
CD200,train
CD200R1,challenge
CD22,train
CD226,train
CD24,challenge
CD244,val
CD247,val
CD248,train
CD27,train
CD274,train
CD276,train
CD28,train
CD2AP,challenge
CD2BP2,train
CD300A,train
CD300E,train
CD300LF,train
CD302,challenge
CD320,train
CD33,train
CD36,train
CD37,val
CD38,train
CD3D,val
CD3E,val
CD3G,val
CD4,train
CD40,train
CD40LG,train
CD44,val
CD46,train
CD47,challenge
CD48,train
CD5,val
CD52,train
CD53,challenge
CD55,train
CD58,train
CD6,val
CD63,challenge
CD68,train
CD69,train
CD7,train
CD70,train
CD72,train
CD74,train
CD79A,calibration
CD79B,calibration
CD80,train
CD81,challenge
CD82,calibration
CD83,challenge
CD84,val
CD86,train
CD8A,train
CD8B,train
CD9,train
CD93,train
CD96,val
CD99,val
CD99L2,train
CDA,train
CDADC1,train
CDC123,challenge
CDC14A,val
CDC25A,train
CDC25B,train
CDC25C,val
CDC34,calibration
CDC37,train
CDC37L1,train
CDC42,train
CDC42BPA,train
CDC42BPB,train
CDC42BPG,train
CDC42EP3,calibration
CDC42EP4,train
CDC42EP5,train
CDC42SE1,train
CDC42SE2,challenge
CDC50A,train
CDC50B,train
CDCA2,train
CDCA3,train
CDCA4,train
CDCA7,val
CDCA7L,train
CDCP1,train
CDH1,challenge
CDH23,challenge
CDH24,train
CDH3,challenge
CDHR5,train
CDIP1,train
CDIPT,train
CDK10,train
CDK11A,train
CDK12,challenge
CDK13,calibration
CDK16,train
CDK17,train
CDK19,train
CDK2,train
CDK20,train
CDK2AP1,train
CDK2AP2,train
CDK4,train
CDK5,train
CDK5R1,train
CDK5RAP1,val
CDK5RAP2,train
CDK5RAP3,challenge
CDK6,train
CDK7,train
CDK8,train
CDK9,train
CDKAL1,train
CDKL1,train
CDKL2,train
CDKL5,train
CDKN1A,train
CDKN1B,challenge
CDKN1C,val
CDKN2A,train
CDKN2AIP,challenge
CDKN2C,challenge
CDKN3,train
CDO1,train
CDON,train
CDPF1,train
CDR2,calibration
CDRT4,train
CDS1,val
CDS2,val
CDV3,train
CDX1,train
CDX2,train
CDX4,calibration
CDYL,train
CDYL2,calibration
CEACAM1,train
CEACAM21,train
CEACAM4,train
CEBPA,train
CEBPB,train
CEBPD,train
CEBPE,train
CELF1,train
CELF2,train
CELSR2,train
CELSR3,challenge
CEMIP,val
CEMIP2,train
CENATAC,train
CENPB,train
CENPBD1P,train
CENPE,train
CENPF,train
CENPO,train
CENPP,train
CENPQ,train
CENPS,train
